Pclass,Sex,SibSp,Parch,Cabin,Embarked,FamilySizeRange,Title,Single,FareRange,AgeRange,FareAndAge
3,0,0,0,0,2,0,1,0,0,2,270.1074
3,1,1,0,0,0,0,3,0,0,3,329.0
2,0,0,0,0,2,0,1,0,0,4,600.625
3,0,0,0,0,0,0,1,0,0,2,233.8875
3,1,1,1,0,0,1,3,1,1,1,270.325
3,0,0,0,0,0,0,1,0,0,0,129.15
3,1,0,0,0,2,0,2,0,0,2,228.876
2,0,1,1,0,0,1,1,1,2,2,754.0
3,1,0,0,0,1,0,3,0,0,0,130.1256
3,0,2,0,0,0,1,1,1,2,1,507.15
3,0,0,0,0,0,0,1,0,0,1,165.8118
1,0,0,0,0,0,0,1,0,2,3,1196.0
1,1,1,0,1,0,0,3,0,3,1,1892.1341
2,0,1,0,0,0,0,1,0,2,4,1638.0
1,1,1,0,1,0,0,3,0,3,3,2875.225
2,1,1,0,0,1,0,3,0,2,1,665.2992
2,0,0,0,0,2,0,1,0,1,2,432.25
3,0,0,0,0,1,0,1,0,0,1,151.725
3,1,1,0,0,0,0,2,0,0,2,213.975
3,1,0,0,0,1,0,3,0,0,3,325.125
1,0,1,0,0,1,0,1,0,3,3,3267.0
3,0,0,1,0,0,0,4,0,0,0,28.5372
1,1,0,0,0,0,0,3,0,3,1,665.3493
1,0,0,1,0,1,0,1,0,3,1,1288.9632
1,1,1,3,1,1,1,3,1,4,3,12594.0
3,0,1,0,0,0,0,1,0,1,3,725.0
1,1,0,1,1,1,0,2,0,3,1,1363.5424
3,0,0,0,0,1,0,1,0,0,1,162.5625
1,0,0,0,1,0,0,1,0,2,3,1250.5
3,0,2,0,0,1,1,1,1,2,1,455.26320000000004
2,0,1,0,0,0,0,1,0,2,3,1300.0
2,0,2,0,0,0,1,1,1,3,1,756.0
3,1,1,2,0,0,1,3,1,2,2,678.975
3,1,1,2,0,0,1,3,1,2,1,492.45
1,0,1,0,1,1,0,1,0,3,2,1732.5
3,0,0,0,0,1,0,1,0,0,1,133.7402
